,day,price
234,235,10.30
235,236,10.30
236,237,10.30
237,238,10.30
238,239,10.30
239,240,10.30
240,241,10.30
241,242,10.30
242,243,10.30
243,244,10.30
244,245,10.30
245,246,10.30
246,247,10.30
247,248,10.30
248,249,10.30
249,250,10.30
250,251,10.30
251,252,10.30
252,253,10.30
253,254,10.30
254,255,10.30
255,256,10.30
256,257,10.30
257,258,10.30
258,259,10.30
259,260,10.30
260,261,10.30
261,262,10.30
262,263,10.30
263,264,10.30
264,265,10.30
265,266,10.30
266,267,10.30
267,268,10.30
268,269,10.30
269,270,10.30
270,271,10.30
271,272,10.30
272,273,10.30
273,274,10.30
274,275,10.30
275,276,10.30
276,277,10.30
277,278,10.30
278,279,10.30
279,280,10.30
280,281,10.30
281,282,10.30
282,283,10.30
283,284,10.30
284,285,10.30
285,286,10.30
286,287,10.30
287,288,10.30
288,289,10.30
289,290,10.30
290,291,10.30
291,292,10.30
292,293,10.30
293,294,10.30
294,295,10.30
295,296,10.30
296,297,10.30
297,298,10.30
298,299,10.30
299,300,10.30
300,301,10.30
301,302,10.30
302,303,10.30
303,304,10.30
304,305,10.30
305,306,10.30
306,307,10.30
307,308,10.30
308,309,10.30
309,310,10.30
310,311,10.30
311,312,10.30
312,313,10.30
313,314,10.30
314,315,10.30
315,316,10.30
316,317,10.30
317,318,10.30
318,319,10.30
319,320,10.30
320,321,10.30
321,322,10.30
322,323,10.30
323,324,10.30
324,325,10.30
325,326,10.30
326,327,10.30
327,328,10.30
328,329,10.30
329,330,10.30
330,331,10.30
331,332,10.30
332,333,10.30
333,334,10.30
334,335,10.30
335,336,10.30
336,337,10.30
337,338,10.30
338,339,10.30
339,340,10.30
340,341,10.30
341,342,10.30
342,343,10.30
343,344,10.30
344,345,10.30
345,346,10.30
346,347,10.30
347,348,10.30
348,349,10.30
349,350,10.30
350,351,10.30
351,352,10.30
352,353,10.30
353,354,10.30
354,355,10.30
355,356,10.30
356,357,10.30
357,358,10.30
358,359,10.30
359,360,10.30
360,361,10.30
361,362,10.30
362,363,10.30
363,364,10.30
364,365,10.30
